Inflacion;Periodo
0.010434486;1990
0.010736499;1991
0.010434666;1992
0.011745478;1993
0.007311534;1994
0.006709735;1995
0.008415342;1996
0.022538807;1997
0.033643393;1998
0.037242788;1999
0.034172811;2000
0.02734356;2001
0.024389667;2002
0.021551461;2003
0.023375841;2004
0.026937356;2005
0.025918367;2006
0.022057329;2007
0.022158603;2008
0.031701999;2009
0.043599547;2010
0.04525392;2011
0.03753949;2012
0.044793304;2013
0.047088854;2014
0.053055588;2015
0.053962802;2016
0.055276618;2017
0.063356616;2018
0.062752168;2019
0.063961906;2020
0.070129804;2021
0.066725689;2022